"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","46","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","134","Delete an existing booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","23","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","1523","InvalidCredentials_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","163","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","1540","AddItemToCart_UpdatesCartBadge","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","CartTests","AddItemToCart_UpdatesCartBadge"
"","45","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","46","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","382","Adding an item to the cart updates the badge counter","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","73","Get booking by invalid ID returns Not Found","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","524","Confirmation message is displayed after a successful checkout","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
